Hospital_Name,Hospital_Ownership,Hospital_Type,State,City,ZIP_Code,Hospital_overall_rating,County_Name,Location,Emergency_Services,Patient_experience_national_comparison
"WEISBROD MEMORIAL COUNTY HOSPITAL","Government - Hospital District or Authority","Critical Access Hospitals",CO,EADS,81036,"Not Available",KIOWA,"1208 LUTHER STREET
EADS, CO
(38.480198, -102.784468)",TRUE,"Not Available"
"DESERT VALLEY HOSPITAL",Proprietary,"Acute Care Hospitals",CA,VICTORVILLE,92395,2,"SAN BERNARDINO","16850 BEAR VALLEY RD
VICTORVILLE, CA
(34.470911, -117.297099)",TRUE,"Below the national average"
"VICTOR VALLEY GLOBAL MEDICAL CENTER","Voluntary non-profit - Private","Acute Care Hospitals",CA,VICTORVILLE,92392,2,"SAN BERNARDINO","15248 11TH ST
VICTORVILLE, CA
(34.52897, -117.292518)",TRUE,"Below the national average"
"PLANTATION GENERAL HOSPITAL",Proprietary,"Acute Care Hospitals",FL,PLANTATION,33317,3,BROWARD,"401 NW 42ND AVE
PLANTATION, FL
(26.126461, -80.20417)",TRUE,"Below the national average"
"MEMORIAL HOSPITAL WEST","Government - Hospital District or Authority","Acute Care Hospitals",FL,"PEMBROKE PINES",33028,3,BROWARD,"703 N FLAMINGO RD
PEMBROKE PINES, FL
(26.013707, -80.311987)",TRUE,"Above the national average"
"SHELBY BAPTIST MEDICAL CENTER","Voluntary non-profit - Private","Acute Care Hospitals",AL,ALABASTER,35007,3,SHELBY,"1000 FIRST STREET NORTH
ALABASTER, AL
(33.253679, -86.814261)",TRUE,"Below the national average"
"JOHNSON REGIONAL MEDICAL CENTER","Voluntary non-profit - Private","Acute Care Hospitals",AR,CLARKSVILLE,72830,3,JOHNSON,"1100 EAST POPLAR STREET
CLARKSVILLE, AR
(35.464384, -93.445797)",TRUE,"Same as the national average"
"COLORADO PLAINS MEDICAL CENTER","Voluntary non-profit - Other","Acute Care Hospitals",CO,"FORT MORGAN",80701,3,MORGAN,"1000 LINCOLN ST
FORT MORGAN, CO
(40.259344, -103.79621)",TRUE,"Same as the national average"
"D W MCMILLAN MEMORIAL HOSPITAL","Government - Hospital District or Authority","Acute Care Hospitals",AL,BREWTON,36426,2,ESCAMBIA,"1301 BELLEVILLE AVENUE
BREWTON, AL
(31.127105, -87.072378)",TRUE,"Same as the national average"
"MONTCLAIR HOSPITAL MEDICAL CENTER","Voluntary non-profit - Private","Acute Care Hospitals",CA,MONTCLAIR,91763,3,"SAN BERNARDINO","5000 SAN BERNARDINO ST
MONTCLAIR, CA
(34.077662, -117.696098)",TRUE,"Below the national average"
"UNIVERSITY OF SOUTH ALABAMA MEDICAL CENTER","Government - State","Acute Care Hospitals",AL,MOBILE,36617,3,MOBILE,"2451 FILLINGIM STREET
MOBILE, AL
(30.708187, -88.099011)",TRUE,"Above the national average"
"MEDSTAR GEORGETOWN UNIVERSITY HOSPITAL","Voluntary non-profit - Private","Acute Care Hospitals",DC,WASHINGTON,20007,1,"DISTRICT OF COLUMBIA","3800 RESERVOIR RD
WASHINGTON, DC
(38.912597, -77.074329)",TRUE,"Below the national average"
"MEASE COUNTRYSIDE HOSPITAL","Voluntary non-profit - Private","Acute Care Hospitals",FL,"SAFETY HARBOR",34695,4,PINELLAS,"3231 MCMULLEN BOOTH RD
SAFETY HARBOR, FL
(28.040326, -82.708971)",TRUE,"Above the national average"
"SHASTA REGIONAL MEDICAL CENTER",Proprietary,"Acute Care Hospitals",CA,REDDING,96001,4,SHASTA,"1100 BUTTE ST
REDDING, CA
(40.585273, -122.38685)",TRUE,"Below the national average"
"WAYNE MEMORIAL HOSPITAL","Government - Hospital District or Authority","Acute Care Hospitals",GA,JESUP,31545,3,WAYNE,"865 SOUTH FIRST STREET
JESUP, GA
(31.602952, -81.899094)",TRUE,"Above the national average"
"NORTH OKALOOSA MEDICAL CENTER","Voluntary non-profit - Private","Acute Care Hospitals",FL,CRESTVIEW,32539,3,OKALOOSA,"151 REDSTONE AVE SE
CRESTVIEW, FL
(30.737062, -86.565982)",TRUE,"Below the national average"
"WELLSTAR KENNESTONE HOSPITAL","Voluntary non-profit - Other","Acute Care Hospitals",GA,MARIETTA,30060,3,COBB,"677 CHURCH STREET
MARIETTA, GA
(33.968128, -84.551241)",TRUE,"Below the national average"
"SANTA ROSA MEMORIAL HOSPITAL","Voluntary non-profit - Private","Acute Care Hospitals",CA,"SANTA ROSA",95405,4,SONOMA,"1165 MONTGOMERY DR
SANTA ROSA, CA
(38.442954, -122.701112)",TRUE,"Below the national average"
"SIBLEY MEMORIAL HOSPITAL","Voluntary non-profit - Other","Acute Care Hospitals",DC,WASHINGTON,20016,3,"DISTRICT OF COLUMBIA","5255 LOUGHBORO RD NW
WASHINGTON, DC
(38.935747, -77.109889)",TRUE,"Below the national average"
"LONGMONT UNITED HOSPITAL","Voluntary non-profit - Private","Acute Care Hospitals",CO,LONGMONT,80501,3,BOULDER,"1950 MOUNTAIN VIEW AVENUE
LONGMONT, CO
(40.181323, -105.125207)",TRUE,"Above the national average"
"MAT-SU REGIONAL MEDICAL CENTER","Voluntary non-profit - Private","Acute Care Hospitals",AK,PALMER,99645,3,"MATANUSKA SUSITNA","2500 SOUTH WOODWORTH LOOP
PALMER, AK
(61.561731, -149.260015)",TRUE,"Below the national average"
"DESOTO MEMORIAL HOSPITAL","Voluntary non-profit - Private","Acute Care Hospitals",FL,ARCADIA,34265,3,"DE SOTO","900 N ROBERT AVE
ARCADIA, FL
(27.227388, -81.851675)",TRUE,"Same as the national average"
"LAKE CITY MEDICAL CENTER","Voluntary non-profit - Private","Acute Care Hospitals",FL,"LAKE CITY",32055,3,COLUMBIA,"340 NW COMMERCE DR
LAKE CITY, FL
(30.18398, -82.68627)",TRUE,"Same as the national average"
"BANNER GATEWAY MEDICAL CENTER","Voluntary non-profit - Other","Acute Care Hospitals",AZ,GILBERT,85234,3,MARICOPA,"1900 NORTH HIGLEY ROAD
GILBERT, AZ
(33.384225, -111.719634)",TRUE,"Above the national average"
"HALIFAX HEALTH MEDICAL CENTER","Government - Hospital District or Authority","Acute Care Hospitals",FL,"DAYTONA BEACH",32114,2,VOLUSIA,"303 N CLYDE MORRIS BLVD
DAYTONA BEACH, FL
(29.20055, -81.05534)",TRUE,"Below the national average"
"FLOWERS HOSPITAL",Proprietary,"Acute Care Hospitals",AL,DOTHAN,36305,4,HOUSTON,"4370 WEST MAIN STREET
DOTHAN, AL
(31.235991, -85.457937)",TRUE,"Above the national average"
"NORTHSIDE HOSPITAL FORSYTH","Voluntary non-profit - Private","Acute Care Hospitals",GA,CUMMING,30041,3,FORSYTH,"1200 NORTHSIDE FORSYTH DRIVE
CUMMING, GA
(34.178588, -84.139246)",TRUE,"Above the national average"
"VILLAGES REGIONAL HOSPITAL, THE","Voluntary non-profit - Private","Acute Care Hospitals",FL,"THE VILLAGES",32159,3,SUMTER,"1451 EL CAMINO REAL
THE VILLAGES, FL
(28.94944, -81.958131)",TRUE,"Below the national average"
"KAISER FOUNDATION HOSPITAL - VACAVILLE",Proprietary,"Acute Care Hospitals",CA,VACAVILLE,95688,3,SOLANO,"1 QUALITY DRIVE
VACAVILLE, CA
(38.390073, -121.936776)",TRUE,"Same as the national average"
"SKY RIDGE MEDICAL CENTER",Proprietary,"Acute Care Hospitals",CO,"LONE TREE",80124,4,DOUGLAS,"10101 RIDGE GATE PARKWAY
LONE TREE, CO
(39.528307, -104.873191)",TRUE,"Above the national average"
"GREENE COUNTY HOSPITAL","Government - Local","Acute Care Hospitals",AL,EUTAW,35462,3,GREENE,"509 WILSON AVENUE
EUTAW, AL
(32.844744, -87.889307)",FALSE,"Not Available"
"MERCY HOSPITAL NORTHWEST ARKANSAS","Voluntary non-profit - Church","Acute Care Hospitals",AR,ROGERS,72758,4,BENTON,"2710 SOUTH RIFE MEDICAL LANE
ROGERS, AR
(36.309816, -94.184727)",TRUE,"Same as the national average"
"EMANUEL MEDICAL CENTER","Government - Hospital District or Authority","Acute Care Hospitals",GA,SWAINSBORO,30401,3,EMANUEL,"117 KITE ROAD
SWAINSBORO, GA
(32.59321, -82.346552)",TRUE,"Same as the national average"
"MERCY HOSPITAL","Voluntary non-profit - Other","Acute Care Hospitals",CA,BAKERSFIELD,93301,2,KERN,"2215 TRUXTUN AVENUE
BAKERSFIELD, CA
(35.373323, -119.027386)",TRUE,"Below the national average"
"CALHOUN-LIBERTY HOSPITAL","Voluntary non-profit - Private","Critical Access Hospitals",FL,BLOUNTSTOWN,32424,"Not Available",CALHOUN,"20370 NE BURNS AVE
BLOUNTSTOWN, FL
(30.458128, -85.049587)",TRUE,"Not Available"
"SOUTH MIAMI HOSPITAL","Voluntary non-profit - Private","Acute Care Hospitals",FL,"SOUTH MIAMI",33143,3,MIAMI-DADE,"6200 SW 73RD ST
SOUTH MIAMI, FL
(25.703051, -80.293367)",TRUE,"Same as the national average"
"GRIFFIN HOSPITAL","Voluntary non-profit - Other","Acute Care Hospitals",CT,DERBY,6418,2,"NEW HAVEN","130 DIVISION ST
DERBY, CT
(41.335978, -73.088689)",TRUE,"Above the national average"
"COMMUNITY HOSPITAL OF LONG BEACH","Voluntary non-profit - Private","Acute Care Hospitals",CA,"LONG BEACH",90804,2,"LOS ANGELES","1720 TERMINO AVENUE
LONG BEACH, CA
(33.788231, -118.145886)",TRUE,"Below the national average"
"BOCA RATON REGIONAL HOSPITAL","Voluntary non-profit - Private","Acute Care Hospitals",FL,"BOCA RATON",33486,2,"PALM BEACH","800 MEADOWS RD
BOCA RATON, FL
(26.359599, -80.102211)",TRUE,"Same as the national average"
"CAPE CANAVERAL HOSPITAL","Voluntary non-profit - Private","Acute Care Hospitals",FL,"COCOA BEACH",32932,4,BREVARD,"701 W COCOA BEACH CAUSEWAY
COCOA BEACH, FL
(28.357879, -80.622733)",TRUE,"Above the national average"
"COAST PLAZA HOSPITAL",Proprietary,"Acute Care Hospitals",CA,NORWALK,90650,2,"LOS ANGELES","13100 STUDERBAKER ROAD
NORWALK, CA
(33.912428, -118.099156)",TRUE,"Below the national average"
"CHAMBERS MEMORIAL HOSPITAL","Voluntary non-profit - Private","Acute Care Hospitals",AR,DANVILLE,72833,3,YELL,"719 DETROIT STREET
DANVILLE, AR
(35.054823, -93.388543)",TRUE,"Same as the national average"
"MEDICAL CENTER BARBOUR","Government - Hospital District or Authority","Acute Care Hospitals",AL,EUFAULA,36027,3,BARBOUR,"820 W WASHINGTON ST
EUFAULA, AL
(31.88798, -85.156613)",TRUE,"Same as the national average"
"MOUNT SINAI MEDICAL CENTER",Proprietary,"Acute Care Hospitals",FL,"MIAMI BEACH",33140,3,MIAMI-DADE,"4300 ALTON RD
MIAMI BEACH, FL
(25.815123, -80.137888)",TRUE,"Below the national average"
"PARKER ADVENTIST HOSPITAL","Voluntary non-profit - Private","Acute Care Hospitals",CO,PARKER,80138,3,DOUGLAS,"9395 CROWN CREST BLVD
PARKER, CO
(39.550004, -104.773598)",TRUE,"Above the national average"
"KAISER FOUNDATION HOSPITAL-SANTA ROSA","Voluntary non-profit - Other","Acute Care Hospitals",CA,"SANTA ROSA",95403,3,SONOMA,"401 BICENTENNIAL WAY
SANTA ROSA, CA
(38.470217, -122.724316)",TRUE,"Above the national average"
"GEORGE L MEE MEMORIAL HOSPITAL","Voluntary non-profit - Other","Acute Care Hospitals",CA,"KING CITY",93930,3,MONTEREY,"300 CANAL STREET
KING CITY, CA
(36.206819, -121.132137)",TRUE,"Not Available"
"UNIVERSITY OF ALABAMA HOSPITAL","Government - State","Acute Care Hospitals",AL,BIRMINGHAM,35233,3,JEFFERSON,"619 SOUTH 19TH STREET
BIRMINGHAM, AL
(33.533411, -86.704736)",TRUE,"Above the national average"
"NATIVIDAD MEDICAL CENTER","Government - Hospital District or Authority","Acute Care Hospitals",CA,SALINAS,93906,3,MONTEREY,"1441 CONSTITUTION BOULEVARD
SALINAS, CA
(36.695487, -121.631223)",TRUE,"Below the national average"
"FULTON COUNTY HOSPITAL","Government - Local","Critical Access Hospitals",AR,SALEM,72576,2,FULTON,"679 NORTH MAIN STREET
SALEM, AR
(36.383359, -91.811203)",TRUE,"Same as the national average"
"GULF COAST MEDICAL CENTER LEE MEM HEALTH SYSTEM","Government - Hospital District or Authority","Acute Care Hospitals",FL,"FORT MYERS",33912,2,LEE,"13681 DOCTORS WAY
FORT MYERS, FL
(26.543016, -81.848589)",TRUE,"Below the national average"
"VAIL VALLEY MEDICAL CENTER","Voluntary non-profit - Other","Acute Care Hospitals",CO,VAIL,81657,4,EAGLE,"181 W MEADOW DRIVE
VAIL, CO
(39.642949, -106.382866)",TRUE,"Above the national average"
"BROWARD HEALTH IMPERIAL POINT","Government - Hospital District or Authority","Acute Care Hospitals",FL,"FORT LAUDERDALE",33308,3,BROWARD,"6401 N FEDERAL HWY
FORT LAUDERDALE, FL
(26.206881, -80.108057)",TRUE,"Below the national average"
"EISENHOWER MEDICAL CENTER",Proprietary,"Acute Care Hospitals",CA,"RANCHO MIRAGE",92270,4,RIVERSIDE,"39-000 BOB HOPE DRIVE
RANCHO MIRAGE, CA
(33.764852, -116.408085)",TRUE,"Below the national average"
"FAIRBANKS MEMORIAL HOSPITAL","Voluntary non-profit - Other","Acute Care Hospitals",AK,FAIRBANKS,99701,3,"FAIRBANKS NORTH STAR","1650 COWLES STREET
FAIRBANKS, AK
(64.831407, -147.736254)",TRUE,"Above the national average"
"SILOAM SPRINGS REGIONAL HOSPITAL","Voluntary non-profit - Other","Acute Care Hospitals",AR,"SILOAM SPRINGS",72761,3,BENTON,"603 NORTH PROGRESS AVENUE
SILOAM SPRINGS, AR
(36.190377, -94.509658)",TRUE,"Same as the national average"
"WELLSTAR WEST GEORGIA MEDICAL CENTER","Government - Hospital District or Authority","Acute Care Hospitals",GA,LAGRANGE,30240,4,TROUP,"1514 VERNON ROAD
LAGRANGE, GA
(33.030172, -85.058365)",TRUE,"Same as the national average"
"COOK  MEDICAL CENTER  A CAMPUS OF TIFT REG MED CTR",Proprietary,"Acute Care Hospitals",GA,ADEL,31620,3,COOK,"706 N PARRISH AVE
ADEL, GA
(31.144055, -83.424824)",TRUE,"Not Available"
"HOLY CROSS HOSPITAL","Voluntary non-profit - Church","Acute Care Hospitals",FL,"FORT LAUDERDALE",33308,2,BROWARD,"4725 N FEDERAL HWY
FORT LAUDERDALE, FL
(26.185378, -80.117659)",TRUE,"Below the national average"
"PICKENS COUNTY MEDICAL CENTER","Government - Hospital District or Authority","Acute Care Hospitals",AL,CARROLLTON,35447,3,PICKENS,"241 ROBERT K WILSON DRIVE
CARROLLTON, AL
(33.274807, -88.089673)",TRUE,"Not Available"
"COOSA VALLEY MEDICAL CENTER","Voluntary non-profit - Other","Acute Care Hospitals",AL,SYLACAUGA,35150,3,TALLADEGA,"315 W HICKORY ST
SYLACAUGA, AL
(33.164666, -86.254598)",TRUE,"Same as the national average"
"ORANGE COUNTY GLOBAL MEDICAL CENTER",Proprietary,"Acute Care Hospitals",CA,"SANTA ANA",92705,1,ORANGE,"1001 NORTH TUSTIN AVENUE
SANTA ANA, CA
(33.753636, -117.834209)",TRUE,"Below the national average"
"SOUTH COAST GLOBAL MEDICAL CENTER",Proprietary,"Acute Care Hospitals",CA,"SANTA ANA",92704,2,ORANGE,"2701 S BRISTOL ST
SANTA ANA, CA
(33.710682, -117.88541)",TRUE,"Below the national average"
"WEST COVINA MEDICAL CENTER, INC",Proprietary,"Acute Care Hospitals",CA,"WEST COVINA",91790,"Not Available","LOS ANGELES","725 S ORANGE AVE
WEST COVINA, CA
(34.070928, -117.944166)",FALSE,"Not Available"
"NATIONAL JEWISH HEALTH","Voluntary non-profit - Private","Acute Care Hospitals",CO,DENVER,80206,"Not Available",DENVER,"1400 JACKSON ST
DENVER, CO
(39.740019, -104.942892)",TRUE,"Not Available"
"PHOENIX INDIAN MEDICAL CENTER","Government - Federal","Acute Care Hospitals",AZ,PHOENIX,85016,"Not Available",MARICOPA,"4212 NORTH 16TH STREET
PHOENIX, AZ
(33.49701, -112.047613)",FALSE,"Same as the national average"
"CHILDREN'S HOSPITAL OF ORANGE COUNTY","Voluntary non-profit - Other",Childrens,CA,ORANGE,92868,"Not Available",ORANGE,"1201 W LA VETA AVE
ORANGE, CA
(33.78033, -117.86496)",TRUE,"Not Available"
"ST MARYS  MEDICAL CENTER","Voluntary non-profit - Church","Acute Care Hospitals",CO,"GRAND JUNCTION",81502,3,MESA,"2635 N 7TH STREET
GRAND JUNCTION, CO
(39.090604, -108.561439)",TRUE,"Above the national average"
"ADVENTIST MEDICAL CENTER - REEDLEY","Voluntary non-profit - Private","Acute Care Hospitals",CA,REEDLEY,93654,2,FRESNO,"372 W CYPRESS AVE
REEDLEY, CA
(36.607812, -119.451695)",FALSE,"Below the national average"
"BAYFRONT HEALTH PUNTA GORDA",Proprietary,"Acute Care Hospitals",FL,"PUNTA GORDA",33950,2,CHARLOTTE,"809 E MARION AVE
PUNTA GORDA, FL
(26.940682, -82.041788)",TRUE,"Below the national average"
"BANNER DEL E. WEBB MEDICAL CENTER","Voluntary non-profit - Private","Acute Care Hospitals",AZ,"SUN CITY WEST",85375,4,MARICOPA,"14502 WEST MEEKER BOULEVARD
SUN CITY WEST, AZ
(33.658307, -112.371939)",TRUE,"Below the national average"
"NORTH LOGAN MERCY HOSPITAL","Voluntary non-profit - Church","Critical Access Hospitals",AR,PARIS,72855,"Not Available",LOGAN,"500 EAST ACADEMY
PARIS, AR
(35.289988, -93.725419)",TRUE,"Not Available"
"LAKE WALES MEDICAL CENTER",Proprietary,"Acute Care Hospitals",FL,"LAKE WALES",33853,2,POLK,"410 S 11TH ST
LAKE WALES, FL
(27.896327, -81.564668)",TRUE,"Below the national average"
"SOUTH LAKE HOSPITAL","Government - Hospital District or Authority","Acute Care Hospitals",FL,CLERMONT,34711,2,LAKE,"1900 DON WICKHAM DR
CLERMONT, FL
(28.551178, -81.723415)",TRUE,"Below the national average"
"WHITE COUNTY MEDICAL CENTER","Voluntary non-profit - Private","Acute Care Hospitals",AR,SEARCY,72143,3,WHITE,"3214 EAST RACE AVENUE
SEARCY, AR
(35.250446, -91.696758)",TRUE,"Above the national average"
"ELIZA COFFEE MEMORIAL HOSPITAL","Government - Hospital District or Authority","Acute Care Hospitals",AL,FLORENCE,35631,2,LAUDERDALE,"205 MARENGO STREET
FLORENCE, AL
(34.79366, -87.684348)",TRUE,"Below the national average"
"POUDRE VALLEY HOSPITAL","Voluntary non-profit - Private","Acute Care Hospitals",CO,"FORT COLLINS",80524,4,LARIMER,"1024 S LEMAY AVE
FORT COLLINS, CO
(40.573727, -105.05786)",TRUE,"Above the national average"
"NICKLAUS CHILDREN'S HOSPITAL","Voluntary non-profit - Private",Childrens,FL,MIAMI,33155,"Not Available",MIAMI-DADE,"3100 SW 62ND AVE
MIAMI, FL
(25.742655, -80.295152)",TRUE,"Not Available"
"WICKENBURG COMMUNITY HOSPITAL","Voluntary non-profit - Private","Critical Access Hospitals",AZ,WICKENBURG,85390,3,MARICOPA,"520 ROSE LANE
WICKENBURG, AZ
(33.978056, -112.738825)",TRUE,"Same as the national average"
"RIVERVIEW REGIONAL MEDICAL CENTER",Proprietary,"Acute Care Hospitals",AL,GADSDEN,35901,3,ETOWAH,"600 SOUTH THIRD STREET
GADSDEN, AL
(34.003811, -86.004086)",TRUE,"Below the national average"
"CENTURA HEALTH-ST ANTHONY HOSPITAL","Voluntary non-profit - Church","Acute Care Hospitals",CO,LAKEWOOD,80228,4,JEFFERSON,"11600 WEST 2ND PLACE
LAKEWOOD, CO
(39.717956, -105.127494)",TRUE,"Same as the national average"
"LOMPOC VALLEY MEDICAL CENTER","Government - Hospital District or Authority","Acute Care Hospitals",CA,LOMPOC,93436,2,"SANTA BARBARA","1515 E OCEAN AVENUE
LOMPOC, CA
(34.640639, -120.439899)",TRUE,"Below the national average"
"CHINO VALLEY MEDICAL CENTER",Proprietary,"Acute Care Hospitals",CA,CHINO,91710,4,"SAN BERNARDINO","5451 WALNUT AVE
CHINO, CA
(34.026348, -117.685358)",TRUE,"Below the national average"
"HEBREW HOME AND HOSPITAL INC","Voluntary non-profit - Private","Acute Care Hospitals",CT,"WEST HARTFORD",6117,"Not Available",HARTFORD,"1 ABRAHMS BOULEVARD
WEST HARTFORD, CT
(41.802774, -72.728931)",FALSE,"Not Available"
"ST JOSEPH'S HOSPITAL","Voluntary non-profit - Other","Acute Care Hospitals",AZ,TUCSON,85711,3,PIMA,"350 NORTH WILMOT ROAD
TUCSON, AZ
(32.225946, -110.857838)",TRUE,"Below the national average"
"VAUGHAN REGIONAL MEDICAL CENTER PARKWAY CAMPUS",Proprietary,"Acute Care Hospitals",AL,SELMA,36701,3,DALLAS,"1015 MEDICAL CENTER PARKWAY
SELMA, AL
(32.430248, -87.055174)",TRUE,"Below the national average"
"PROVIDENCE HOSPITAL","Voluntary non-profit - Church","Acute Care Hospitals",AL,MOBILE,36608,2,MOBILE,"6801 AIRPORT BOULEVARD
MOBILE, AL
(30.681482, -88.197854)",TRUE,"Below the national average"
"TRI-CITY MEDICAL CENTER","Government - Hospital District or Authority","Acute Care Hospitals",CA,OCEANSIDE,92056,2,"SAN DIEGO","4002 VISTA WAY
OCEANSIDE, CA
(33.183783, -117.290918)",TRUE,"Below the national average"
"FOOTHILL REGIONAL MEDICAL CENTER",Proprietary,"Acute Care Hospitals",CA,TUSTIN,92780,"Not Available",ORANGE,"14662 NEWPORT AVE
TUSTIN, CA
(33.730907, -117.829351)",FALSE,"Not Available"
"DODGE COUNTY HOSPITAL","Government - Hospital District or Authority","Acute Care Hospitals",GA,EASTMAN,31023,3,DODGE,"901 GRIFFIN AVE
EASTMAN, GA
(32.186056, -83.178589)",TRUE,"Above the national average"
"UKIAH VALLEY MEDICAL CENTER","Voluntary non-profit - Church","Acute Care Hospitals",CA,UKIAH,95482,3,MENDOCINO,"275 HOSPITAL DRIVE
UKIAH, CA
(39.152989, -123.203793)",TRUE,"Below the national average"
"REDWOOD MEMORIAL HOSPITAL","Voluntary non-profit - Private","Critical Access Hospitals",CA,FORTUNA,95540,"Not Available",HUMBOLDT,"3300 RENNER DRIVE
FORTUNA, CA
(40.582564, -124.135624)",TRUE,"Not Available"
"CALIFORNIA PACIFIC MEDICAL CTR-DAVIES CAMPUS HOSP","Voluntary non-profit - Other","Acute Care Hospitals",CA,"SAN FRANCISCO",94117,3,"SAN FRANCISCO","601 DUBOCE AVE
SAN FRANCISCO, CA
(37.769118, -122.434656)",TRUE,"Below the national average"
"KAISER FOUNDATION HOSPITAL - SAN LEANDRO","Voluntary non-profit - Private","Acute Care Hospitals",CA,"SAN LEANDRO",94577,3,ALAMEDA,"2500 MERCED STREET
SAN LEANDRO, CA
(37.706524, -122.169447)",TRUE,"Below the national average"
"CHEROKEE MEDICAL CENTER","Voluntary non-profit - Private","Acute Care Hospitals",AL,CENTRE,35960,4,CHEROKEE,"400 NORTHWOOD DR
CENTRE, AL
(34.162761, -85.65142)",TRUE,"Above the national average"
"ALHAMBRA HOSPITAL MEDICAL CENTER",Proprietary,"Acute Care Hospitals",CA,ALHAMBRA,91801,4,"LOS ANGELES","100 S RAYMOND AVE
ALHAMBRA, CA
(34.090156, -118.145017)",TRUE,"Below the national average"
"SCRIPPS MERCY HOSPITAL","Voluntary non-profit - Private","Acute Care Hospitals",CA,"SAN DIEGO",92103,3,"SAN DIEGO","4077 5TH AVE
SAN DIEGO, CA
(32.751211, -117.161024)",TRUE,"Below the national average"
"GLENN MEDICAL CENTER","Voluntary non-profit - Private","Critical Access Hospitals",CA,WILLOWS,95988,"Not Available",GLENN,"1133 W SYCAMORE ST
WILLOWS, CA
(39.520467, -122.208141)",TRUE,"Not Available"
"REDLANDS COMMUNITY HOSPITAL","Government - Federal","Acute Care Hospitals",CA,REDLANDS,92373,4,"SAN BERNARDINO","350 TERRACINA BLVD
REDLANDS, CA
(34.037036, -117.20431)",TRUE,"Above the national average"
"ST FRANCIS HOSPITAL & MEDICAL CENTER","Voluntary non-profit - Church","Acute Care Hospitals",CT,HARTFORD,6105,3,HARTFORD,"114 WOODLAND STREET
HARTFORD, CT
(41.77508, -72.699468)",TRUE,"Above the national average"
"MIDDLE PARK MEDICAL CENTER","Government - Hospital District or Authority","Critical Access Hospitals",CO,KREMMLING,80459,"Not Available",GRAND,"214 S 4TH STREET
KREMMLING, CO
(40.0575, -106.391183)",TRUE,"Not Available"
"APPLING HOSPITAL","Government - Hospital District or Authority","Acute Care Hospitals",GA,BAXLEY,31513,3,APPLING,"163 E TOLLISON STREET
BAXLEY, GA
(31.768768, -82.349351)",TRUE,"Below the national average"
"VERDE VALLEY MEDICAL CENTER","Voluntary non-profit - Private","Acute Care Hospitals",AZ,COTTONWOOD,86326,4,YAVAPAI,"269 SOUTH CANDY LANE
COTTONWOOD, AZ
(34.735403, -112.031605)",TRUE,"Above the national average"
"LITTLE COLORADO MEDICAL CENTER","Voluntary non-profit - Private","Critical Access Hospitals",AZ,WINSLOW,86047,"Not Available",NAVAJO,"1501 NORTH WILLIAMSON AVENUE
WINSLOW, AZ
(35.035455, -110.691742)",TRUE,"Same as the national average"
"BAXTER REGIONAL MEDICAL CENTER","Voluntary non-profit - Private","Acute Care Hospitals",AR,"MOUNTAIN HOME",72653,3,BAXTER,"624 HOSPITAL DRIVE
MOUNTAIN HOME, AR
(36.342995, -92.395318)",TRUE,"Same as the national average"
"BANNER DESERT MEDICAL CENTER","Voluntary non-profit - Private","Acute Care Hospitals",AZ,MESA,85202,3,MARICOPA,"1400 SOUTH DOBSON ROAD
MESA, AZ
(33.39091, -111.874624)",TRUE,"Below the national average"
"LAKELAND REGIONAL MEDICAL CENTER","Voluntary non-profit - Private","Acute Care Hospitals",FL,LAKELAND,33805,2,POLK,"1324 LAKELAND HILLS BLVD
LAKELAND, FL
(28.059671, -81.953248)",TRUE,"Below the national average"
"ST VINCENT'S MEDICAL CENTER","Voluntary non-profit - Church","Acute Care Hospitals",CT,BRIDGEPORT,6606,2,FAIRFIELD,"2800 MAIN ST
BRIDGEPORT, CT
(41.200083, -73.202486)",TRUE,"Below the national average"
"SIMI VALLEY HOSPITAL & HEALTH CARE SERVICES","Voluntary non-profit - Church","Acute Care Hospitals",CA,"SIMI VALLEY",93065,2,VENTURA,"2975 N SYCAMORE DR
SIMI VALLEY, CA
(34.288837, -118.74396)",TRUE,"Below the national average"
"ARKANSAS METHODIST MEDICAL CENTER","Voluntary non-profit - Private","Acute Care Hospitals",AR,PARAGOULD,72450,2,GREENE,"900 WEST KINGSHIGHWAY
PARAGOULD, AR
(36.052593, -90.499051)",TRUE,"Same as the national average"
"ST VINCENT'S MEDICAL CENTER SOUTHSIDE","Voluntary non-profit - Private","Acute Care Hospitals",FL,JACKSONVILLE,32216,3,DUVAL,"4201 BELFORT RD
JACKSONVILLE, FL
(30.253103, -81.584126)",TRUE,"Below the national average"
"EAST LOS ANGELES DOCTORS HOSPITAL",Proprietary,"Acute Care Hospitals",CA,"LOS ANGELES",90023,2,"LOS ANGELES","4060 WHITTIER BLVD
LOS ANGELES, CA
(34.02393, -118.184285)",TRUE,"Below the national average"
"ST MARY'S MEDICAL CENTER",Proprietary,"Acute Care Hospitals",FL,"WEST PALM BEACH",33407,1,"PALM BEACH","901 45TH ST
WEST PALM BEACH, FL
(26.753208, -80.062803)",TRUE,"Below the national average"
"CLEVELAND CLINIC HOSPITAL",Proprietary,"Acute Care Hospitals",FL,WESTON,33331,3,BROWARD,"3100 WESTON RD
WESTON, FL
(26.080374, -80.365423)",TRUE,"Above the national average"
